Id,_0,_1,_2,action_what,action_where,alternative_technique,how,how_what,how_where,postcondition,precondition,tactic,technique,when,when_condition,when_object,where_attribute,why_state,why_what,why_where
t1152,1,,327,use,launchctl,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,abuse,code,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,abuse,agent,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,abuse,deamon,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,1,,327,abuse,launchctl,,launchctl submit -l -- /path/to/thing/to/execute arg arg arg,,,,,"defense evasion,execution,persistence",launchctl,,"allowed, granted","launchctl, elevated previleges",,,"execute , bypass","code , whitelisting"
t1152,,,328,bypass,whitelisting,,,,,,,"defense evasion,execution,persistence",launchctl,,,,,,,
t1014,1,,556,use,rootkit,,"<what>intercepting<\what> (i.e., <what>hooking<\what>) and <what>modifying<\what> <where>operating system api calls<\where>",,,,,defense evasion,rootkit,,,"hypervisor , master boot record , system firmware or others",,"<what>hide<\what> the presence of <where>programs<\where>, <where>files<\where>, <where>network connections<\where>, <where>services<\where>, <where>drivers<\where>, and other system components",hide,"programs , files , network connections , services , drivers"
t1014,,,557,intercept,hooking,,,,,,,defense evasion,rootkit,,,,,,,
t1014,,,558,modify,operating system API,,,,,,,defense evasion,rootkit,,,,,,,
t1193,1,,647,send,email-with-file-attachment,,"give a plausible reason why the file should be opened, execute code, payload exploits a vulnerability or directly executes on the user's system",,,,,initial access,spearphishing attachment,"attachment is-opened
Technqoue: User Executable",open,attachment,".doc, .PDF, .zip, .exec file extension / microsoft office documents, executables, pdfs, or archived files","open attachment, gain execution",gain,execuation
t1193,,,648,execute,email payload,,"give a plausible reason why the file should be opened, execute code, payload exploits a vulnerability or directly executes on the user's system",,,,,initial access,spearphishing attachment,"attachment is-a opened
techniqe: User Execution",open,attachment,".doc, .PDF, .zip, .exec file extension / microsoft office documents, executables, pdfs, or archived files","open attachment, gain execution",gain,execuation
t1193,,,648,execute,vulnerability,,"give a plausible reason why the file should be opened, execute code, payload exploits a vulnerability or directly executes on the user's system",,,,,initial access,spearphishing attachment,"attachment is-a opened
techniqe: User Execution",open,attachment,".doc, .PDF, .zip, .exec file extension / microsoft office documents, executables, pdfs, or archived files","open attachment, gain execution",gain,execuation
t1193,,,648,exploite,email payload,,"give a plausible reason why the file should be opened, execute code, payload exploits a vulnerability or directly executes on the user's system",,,,,initial access,spearphishing attachment,"attachment is-a opened
techniqe: User Execution",open,attachment,".doc, .PDF, .zip, .exec file extension / microsoft office documents, executables, pdfs, or archived files","open attachment, gain execution",gain,execuation
t1193,,,648,exploite,vulnerability,,"give a plausible reason why the file should be opened, execute code, payload exploits a vulnerability or directly executes on the user's system",,,,,initial access,spearphishing attachment,"attachment is-a opened
techniqe: User Execution",open,attachment,".doc, .PDF, .zip, .exec file extension / microsoft office documents, executables, pdfs, or archived files","open attachment, gain execution",gain,execuation
t1193,,,649,manipulate,file extensions,,,,,,,initial access,spearphishing attachment,,,,,hide extension of exeutable files,,
t1193,,,649,manipulate,icons,,,,,,,initial access,spearphishing attachment,,,,,hide extension of exeutable files,,
t1192,1,,650,use,URL,,social engineering text,using,exploit,,"account-address-discovered; 
techniqe:discovery",initial access,spearphishing link,,,,,<what>download<\what> <where>malware<\where> contained in email ; <what>avoid<\what> <where>defenses<\where> that may inspect email attachments,"download , avoid","malware , defenses"
t1192,1,,650,use,link,,social engineering text,using,exploit,,"account-address-discovered; 
techniqe:discovery",initial access,spearphishing link,,,,,<what>download<\what> <where>malware<\where> contained in email ; <what>avoid<\what> <where>defenses<\where> that may inspect email attachments,"download , avoid","malware , defenses"
t1192,,,651,download,malware,,,using,exploit,user-information-gathered,"account-address-discovered; 
techniqe:discovery",initial access,spearphishing link,,,,,,,
t1192,,,652,accompany,link,,<what> leveraging<\what> <where>user execution<\where>,embedded images,,,,initial access,spearphishing link,link/URL is-a clikced,,,,,,
t1192,,,652,accompany,URL,,<what> leveraging<\what> <where>user execution<\where>,embedded images,,,,initial access,spearphishing link,link/URL is-a clikced,,,,,,
t1192,,,653,compromise,web browser,,"<how><what>using<\what> an <where>exploit<\where><\how>,",,,execution-for-access -gained,supplychain-system-access,initial access,spearphishing link,,,,,"<what>download<\what> <where>applications<\where>, <where>documents<\where>, <where>zip files<\where>, or even <where>executables<\where>",download,"application, document, zip file, executable"
t1192,,,654,prompt,user,,"<how><what>using<\what> an <where>exploit<\where><\how>,",,,,,initial access,spearphishing link,,,,,"<what>download<\what> <where>applications<\where>, <where>documents<\where>, <where>zip files<\where>, or even <where>executables<\where>",download,"application, document, zip file, executable"
t1192,,,654,solicit,user,,"<how><what>using<\what> an <where>exploit<\where><\how>,",,,,,initial access,spearphishing link,,,,,"<what>download<\what> <where>applications<\where>, <where>documents<\where>, <where>zip files<\where>, or even <where>executables<\where>",download,"application, document, zip file, executable"
t1192,,,655,include,link,,,,,,,initial access,spearphishing link,link/URL is-a clikced,,,,"<what>infect<\what> system<\where> /
<what>interact<\what> user<\where> /
<what>verify<\what> email adress<\where> /
<what>solicit<\what> user info<\where> /
<what>download<\what> code<\where>by user clicking","interact , exploit , verify","email reader , end system , receipt"
t1194,1,,656,send,message,,"social media services , personal webmail , non-enterprise controlled services",,,,"account-address-discovered; 
techniqe:discovery",initial access,spearphishing via service,user info discovery,,,,<what>generate<\what> <where>rapport<\where> with the target ; <what>get<\what> the target's interest,"generate , get",rapport
t1194,1,,656,send,content,,"social media services , personal webmail , non-enterprise controlled services",,,,"account-address-discovered; 
techniqe:discovery",initial access,spearphishing via service,user info discovery,,,,<what>generate<\what> <where>rapport<\where> with the target ; <what>get<\what> the target's interest,"generate , get",rapport
t1194,,,657,create,social media account,,"potential job opportunities; asking about services, policies, and software that's running in an environment,",,,,"account-address-discovered; 
techniqe:discovery",initial access,spearphishing via service,,,,"fake , ,malicious","<what>open<\what>  <where>attachment<\where> by user/
<what>click <\what>  <where>link<\where> by user",,
t1194,,,657,create,employee,,"potential job opportunities; asking about services, policies, and software that's running in an environment,",,,,"account-address-discovered; 
techniqe:discovery",initial access,spearphishing via service,,,,"fake , ,malicious","<what>open<\what>  <where>attachment<\where> by user/
<what>click <\what>  <where>link<\where> by user",,
t1194,,,657,create,link,,"potential job opportunities; asking about services, policies, and software that's running in an environment,",,,,"account-address-discovered; 
techniqe:discovery",initial access,spearphishing via service,,,,"fake , ,malicious","<what>open<\what>  <where>attachment<\where> by user/
<what>click <\what>  <where>link<\where> by user",,
t1194,,,657,message,social media account,,"potential job opportunities; asking about services, policies, and software that's running in an environment,",,,,"account-address-discovered; 
techniqe:discovery",initial access,spearphishing via service,,,,"fake , ,malicious","<what>open<\what>  <where>attachment<\where> by user/
<what>click <\what>  <where>link<\where> by user",,
t1194,,,657,message,employee,,"potential job opportunities; asking about services, policies, and software that's running in an environment,",,,,"account-address-discovered; 
techniqe:discovery",initial access,spearphishing via service,,,,"fake , ,malicious","<what>open<\what>  <where>attachment<\where> by user/
<what>click <\what>  <where>link<\where> by user",,
t1194,,,657,message,link,,"potential job opportunities; asking about services, policies, and software that's running in an environment,",,,,"account-address-discovered; 
techniqe:discovery",initial access,spearphishing via service,,,,"fake , ,malicious","<what>open<\what>  <where>attachment<\where> by user/
<what>click <\what>  <where>link<\where> by user",,
t1194,,,657,send,social media account,,"potential job opportunities; asking about services, policies, and software that's running in an environment,",,,,"account-address-discovered; 
techniqe:discovery",initial access,spearphishing via service,,,,"fake , ,malicious","<what>open<\what>  <where>attachment<\where> by user/
<what>click <\what>  <where>link<\where> by user",,
t1194,,,657,send,employee,,"potential job opportunities; asking about services, policies, and software that's running in an environment,",,,,"account-address-discovered; 
techniqe:discovery",initial access,spearphishing via service,,,,"fake , ,malicious","<what>open<\what>  <where>attachment<\where> by user/
<what>click <\what>  <where>link<\where> by user",,
t1194,,,657,send,link,,"potential job opportunities; asking about services, policies, and software that's running in an environment,",,,,"account-address-discovered; 
techniqe:discovery",initial access,spearphishing via service,,,,"fake , ,malicious","<what>open<\what>  <where>attachment<\where> by user/
<what>click <\what>  <where>link<\where> by user",,
t1194,,,657,create,attachment,,"potential job opportunities; asking about services, policies, and software that's running in an environment,",,,,"account-address-discovered; 
techniqe:discovery",initial access,spearphishing via service,,,,"fake , ,malicious","<what>open<\what>  <where>attachment<\where> by user/
<what>click <\what>  <where>link<\where> by user",,
t1194,,,657,message,attachment,,"potential job opportunities; asking about services, policies, and software that's running in an environment,",,,,"account-address-discovered; 
techniqe:discovery",initial access,spearphishing via service,,,,"fake , ,malicious","<what>open<\what>  <where>attachment<\where> by user/
<what>click <\what>  <where>link<\where> by user",,
t1194,,,657,send,attachment,,"potential job opportunities; asking about services, policies, and software that's running in an environment,",,,,"account-address-discovered; 
techniqe:discovery",initial access,spearphishing via service,,,,"fake , ,malicious","<what>open<\what>  <where>attachment<\where> by user/
<what>click <\what>  <where>link<\where> by user",,
t1194,,,658,send  message,personal webmail service,,social media,leveraging,user execution,,"account-address-discovered; 
techniqe:discovery",initial access,spearphishing via service,,,,,<what>bypass<\what> some <where>email restrictions<\where> on the work account,bypass,email restriction
t1194,,,658,content,personal webmail service,,social media,leveraging,user execution,,"account-address-discovered; 
techniqe:discovery",initial access,spearphishing via service,,,,,<what>bypass<\what> some <where>email restrictions<\where> on the work account,bypass,email restriction
t1195,1,,669,manipulate,development tool,,,,,execution-for-access -gained,software-purshace,initial access,supply chain compromise,software provided,,,,<what>gain<\what> <object>execution for access<object>,gain,execution
t1195,1,,669,manipulate,development environment,,,,,execution-for-access -gained,software-purshace,initial access,supply chain compromise,software provided,,,,<what>gain<\what> <object>execution for access<object>,gain,execution
t1195,1,,669,manipulate,source code repository,,,,,execution-for-access -gained,software-purshace,initial access,supply chain compromise,software provided,,,,<what>gain<\what> <object>execution for access<object>,gain,execution
t1195,1,,669,manipulate,source,,,,,execution-for-access -gained,software-purshace,initial access,supply chain compromise,software provided,,,,<what>gain<\what> <object>execution for access<object>,gain,execution
t1195,1,,669,manipulate,code,,,,,execution-for-access -gained,software-purshace,initial access,supply chain compromise,software provided,,,,<what>gain<\what> <object>execution for access<object>,gain,execution
t1195,1,,669,manipulate,software update,,,,,execution-for-access -gained,software-purshace,initial access,supply chain compromise,software provided,,,,<what>gain<\what> <object>execution for access<object>,gain,execution
t1195,1,,669,manipulate,distribution mechanisms,,,,,execution-for-access -gained,software-purshace,initial access,supply chain compromise,software provided,,,,<what>gain<\what> <object>execution for access<object>,gain,execution
t1195,,,670,Compromise,system image,,code,,,execution-for-access -gained,supplychain-system-access,initial access,supply chain compromise,image provided,,,,<what>gain<\what> <object>execution for access<object>,gain,execution
t1195,,,670,infect,system image,,code,,,execution-for-access -gained,supplychain-system-access,initial access,supply chain compromise,image provided,,,,<what>gain<\what> <object>execution for access<object>,gain,execution
t1195,,,671,replace,software,,image,,,execution-for-access -gained,open-source-installed,initial access,supply chain compromise,access to system,,,,<what>gain<\what> <object>execution for access<object>,gain,execution
t1195,,,672,sell,counterfeit-product,,seeling s/w,,,message-deleiverd,"account-address-discovered; 
techniqe:discovery",initial access,supply chain compromise,purshace product,,,"modified , counterfeit",<what>gain<\what> <object>execution for access<object>,gain,execution
t1195,,,673,add,software,,,,,,"account-address-discovered; 
techniqe:discovery",initial access,supply chain compromise,access to system,,,malicious,<what>gain<\what> <object>execution for access<object>,gain,execution
t1195,,,673,install,software,,,,,,"account-address-discovered; 
techniqe:discovery",initial access,supply chain compromise,access to system,,,malicious,<what>gain<\what> <object>execution for access<object>,gain,execution
t1195,,,674,target,open source projects,,open source,,,,"account-address-discovered; 
techniqe:discovery",initial access,supply chain compromise,use open source,,,malicious,<what>add<\what> <attribute>malicious<\attribute> <where>code<\where>,add,code
t1195,,,674,target,open source code,,open source,,,,"account-address-discovered; 
techniqe:discovery",initial access,supply chain compromise,use open source,,,malicious,<what>add<\what> <attribute>malicious<\attribute> <where>code<\where>,add,code
t1195,,,674,use,open source projects,,open source,,,,"account-address-discovered; 
techniqe:discovery",initial access,supply chain compromise,use open source,,,malicious,<what>add<\what> <attribute>malicious<\attribute> <where>code<\where>,add,code
t1195,,,674,use,open source code,,open source,,,,"account-address-discovered; 
techniqe:discovery",initial access,supply chain compromise,use open source,,,malicious,<what>add<\what> <attribute>malicious<\attribute> <where>code<\where>,add,code
t1195,,,674,utilize,open source projects,,open source,,,,"account-address-discovered; 
techniqe:discovery",initial access,supply chain compromise,use open source,,,malicious,<what>add<\what> <attribute>malicious<\attribute> <where>code<\where>,add,code
t1195,,,674,utilize,open source code,,open source,,,,"account-address-discovered; 
techniqe:discovery",initial access,supply chain compromise,use open source,,,malicious,<what>add<\what> <attribute>malicious<\attribute> <where>code<\where>,add,code
t1195,,,675,add,code,,,,,,,initial access,supply chain compromise,supplychain,,,malicious,<what>gain<\what> <object>execution for access<object>,,
t1199,1,,734,exploit,connection,,<what>exploit<\what>access through trusted third party relationship,,,execution-for-access -gained,supplychain-system-access,initial access,trusted relationship,connecton is-a not protected/ connecton is-a insecure,,,existing,<what>gain<\what> access-to<where>network/system<\where>,gain,network/system
t1199,1,,734,exploit,network,,<what>exploit<\what>access through trusted third party relationship,,,execution-for-access -gained,supplychain-system-access,initial access,trusted relationship,connecton is-a not protected/ connecton is-a insecure,,,existing,<what>gain<\what> access-to<where>network/system<\where>,gain,network/system
t1199,1,,734,use,connection,,<what>exploit<\what>access through trusted third party relationship,,,execution-for-access -gained,supplychain-system-access,initial access,trusted relationship,connecton is-a not protected/ connecton is-a insecure,,,existing,<what>gain<\what> access-to<where>network/system<\where>,gain,network/system
t1199,1,,734,use,network,,<what>exploit<\what>access through trusted third party relationship,,,execution-for-access -gained,supplychain-system-access,initial access,trusted relationship,connecton is-a not protected/ connecton is-a insecure,,,existing,<what>gain<\what> access-to<where>network/system<\where>,gain,network/system
t1199,1,,734,access,connection,,<what>exploit<\what>access through trusted third party relationship,,,execution-for-access -gained,supplychain-system-access,initial access,trusted relationship,connecton is-a not protected/ connecton is-a insecure,,,existing,<what>gain<\what> access-to<where>network/system<\where>,gain,network/system
t1199,1,,734,access,network,,<what>exploit<\what>access through trusted third party relationship,,,execution-for-access -gained,supplychain-system-access,initial access,trusted relationship,connecton is-a not protected/ connecton is-a insecure,,,existing,<what>gain<\what> access-to<where>network/system<\where>,gain,network/system
t1078,1,,745,steal,credential,,<what>using<\what> <where>credential access techniques<\where>;social engineering,using,credential access techniques/social engineering,credential-captured,techniques: credential access; social engineering,"defense evasion,persistence,privilege escalation,initial access",valid accounts,credential access techniques/social engineering,,,"user , service account","<what>gain<\what><where>access<\where> / 
 <what>gain<\what><where>remote access<\where> / 
<what>gain<\what><where>persistance access<\where> /
 <what>bypass<\what> <where>access controls<\where>/
<what>connect<\what> <where>remote environments<\where> /
<what>connect<\what> to <where> remote services<\where>",,
t1078,1,,745,capture,credential,,<what>using<\what> <where>credential access techniques<\where>;social engineering,using,credential access techniques/social engineering,credential-captured,techniques: credential access; social engineering,"defense evasion,persistence,privilege escalation,initial access",valid accounts,credential access techniques/social engineering,,,"user , service account","<what>gain<\what><where>access<\where> / 
 <what>gain<\what><where>remote access<\where> / 
<what>gain<\what><where>persistance access<\where> /
 <what>bypass<\what> <where>access controls<\where>/
<what>connect<\what> <where>remote environments<\where> /
<what>connect<\what> to <where> remote services<\where>",,
t1078,,,746,use,credential,,,,,access-previlidged,credential-captured,"defense evasion,persistence,privilege escalation,initial access",valid accounts,,,,compromised/stolen/publicly disclosed,"<what>gain<\what><where>access<\where> / 
 <what>gain<\what><where>remote access<\where> / 
<what>gain<\what><where>persistance access<\where> /
 <what>bypass<\what> <where>access controls<\where>/
<what>connect<\what> <where>remote environments<\where> /
<what>connect<\what> to <where> remote services<\where>",,
t1078,,,746,use,private key,,,,,access-previlidged,credential-captured,"defense evasion,persistence,privilege escalation,initial access",valid accounts,,,,compromised/stolen/publicly disclosed,"<what>gain<\what><where>access<\where> / 
 <what>gain<\what><where>remote access<\where> / 
<what>gain<\what><where>persistance access<\where> /
 <what>bypass<\what> <where>access controls<\where>/
<what>connect<\what> <where>remote environments<\where> /
<what>connect<\what> to <where> remote services<\where>",,
t1156,,,1,insert-code,bash_profile file,,,,,bashrc-file-modified/bash_profile-file-modified,bashrc-file-access/bash_profile-file-access,persistence,.bash_profile and .bashrc,user logs in  /opens a new shell,,,,gain persistence,,
t1156,,,1,insert-code,bashrc file,,,,,bashrc-file-modified/bash_profile-file-modified,bashrc-file-access/bash_profile-file-access,persistence,.bash_profile and .bashrc,user logs in  /opens a new shell,,,,gain persistence,,
t1134,,,2,use,access tokens,,,,,,,defense evasion,access token manupulation,,,,,operate under a different user or system security context perform actions and <what> evade <\what> <where> detection <\where>,evade,detection
t1134,,,3,use,windows api,,,,,,,defense evasion,access token manupulation,be in a privileged user context (i.e. administrator),,,built-in functions,<what>  copy <\what><where> access tokens <\where> from existing processes; this is known as token stealing  <what> steal <\what> a <where> token <\where>,"copy  ,  steal","access tokens  ,  token"
t1134,,,4,use,token stealing,,,,,,,defense evasion,access token manupulation,,,,,elevate their security context from the administrator level to the system level,,
t1134,,,5,use,token,,,,,,,defense evasion,access token manupulation,<object>account<\object> has <condition>appropriate permissions<\condition> on the remote system,appropriate permissions,account,,authenticate to a remote system,,
t1134,,,6,leveraged,access tokens,,,,,,,defense evasion,access token manupulation,,,,,,,
t1134,,,6,use,access tokens,,,,,,,defense evasion,access token manupulation,,,,,,,
t1134,,,7,creates,access token,,,,,,,defense evasion,access token manupulation,,,,new,,,
t1134,,,8,duplicates,existing token,,duplicatetoken(ex)  impersonateloggedonuser  setthreadtoken,,,,,defense evasion,access token manupulation,the target user has a non-network logon session on the system,,,,impersonate a logged on user's security context  assign the impersonated token to a thread,,
t1134,,,9,creates,access token,,duplicatetoken(ex)  createprocesswithtokenw,,,,,defense evasion,access token manupulation,,,,new,<what>create <\what> a new <where> process <\where> running under the security context of the impersonated user,create,process
t1134,,,10,create,logon session,,logonuser  <what> use <\what> <where> setthreadtoken <\where>,use,setthreadtoken,,,defense evasion,access token manupulation,,,,,assign the token to a thread,,
t1134,,,11,allows,token manipulation,,,,,,,defense evasion,access token manupulation,,,,,,,
t1134,,,12,uses,token impersonation,,,,,,,defense evasion,access token manupulation,,,,,escalate privileges,,
t1015,,,13,modify,programs,,,,,,,"persistence,privilege escalation",accessibility features,,,,,<what> get/use <\what> a <where> command prompt <\where> or <where> backdoor <\where> without logging in to the system,get/use,"command prompt  ,  backdoor"
t1015,,,14,launched,accessibility programs,,,,,,,"persistence,privilege escalation",accessibility features,the shift key is pressed five times,,,"c:\windows\system32\sethc.exe  ,  c:\windows\system32\utilman.exe",,,
